id,vuln_type,severity,fix_methods,recommended_fix_short
1,Cross-Site Scripting (XSS),High,Output encoding/escaping per context; Use safe templating with auto-escaping; Strict input validation/whitelisting; Sanitize HTML using well-maintained libraries; Content Security Policy (CSP) with script-src nonce/hashes; HttpOnly cookies for sensitive cookies; CSP report-uri for monitoring; Use frameworks' built-in protections; Apply WAF rules for XSS signatures; CSP + Subresource Integrity (SRI) for third-party scripts,"Escape all user-supplied data at output, sanitize stored HTML if needed, and enforce a strong CSP."
2,SQL Injection,Critical,Use parameterized queries / prepared statements; Use ORM query builders that parameterize inputs; Input validation & whitelists for identifiers; Avoid dynamic SQL string concatenation; Least-privilege DB user; Limit returned columns and rows; Use query parameter binding and stored procedures (careful with dynamic SQL inside); Database activity monitoring & WAF signatures; Escape only when absolutely necessary and with safe libraries,Replace concatenated SQL with parameterized queries and enforce input validation and least-privilege DB access.
3,Cross-Site Request Forgery (CSRF),High,Use per-session/per-request CSRF tokens and validate server-side; Set SameSite=strict or lax on auth cookies; Verify Origin and Referer headers for state-changing requests; Double-submit cookie pattern when necessary; Require explicit user interaction for critical actions (re-auth or 2FA); Use anti-CSRF libraries/framework middleware; Avoid GET for state-changing operations,Require a validated CSRF token for all state-changing requests and use SameSite cookie attributes.
4,Insecure Direct Object Reference (IDOR),High,Enforce server-side authorization checks for every resource access; Use unguessable identifiers (UUIDs or random tokens) not sequential IDs; Map user-owned resources in server-side ACLs; Principle of least privilege; Validate ownership/permissions on every operation; Logging and alerting for access anomalies; Rate-limiting on resource access attempts,Always authorize on the server for requested resources and avoid predictable IDs.
5,Command Injection,Critical,"Avoid executing shell commands with user input; Use language-native APIs instead of shell; If shell needed, use exec APIs that accept argument arrays (no shell interpolation); Strict input validation and allowlists; Drop privileges before executing; Use chroot/containers/sandboxing; Use seccomp/AppArmor/SELinux policies; Escape arguments only with robust libraries; Use timeout and resource limits",Replace shell invocations with safe APIs and strictly whitelist/validate any required inputs.
6,Insecure Deserialization,Critical,Avoid native/object deserialization of untrusted data; Use simple data formats (JSON) with schema validation; Use allowlists for allowed types; Sign/encrypt serialized payloads and verify signatures before deserialization; Run deserialization in isolated/sandboxed processes; Keep deserialization libraries up to date; Use safe parsers that prohibit executable types,Don't deserialize untrusted data; prefer validated JSON and verify integrity before parsing.
7,Stored XSS,High,Sanitize input before storage (remove scripts/unsafe tags) using vetted libraries; Escape on output according to context; Use Content Security Policy; Validate input length and allowed markup; Use stored-html sanitizers that preserve safe tags (if needed); Audit stored content rendering paths; WAF rules for stored payload patterns,Sanitize and/or encode stored user content and enforce CSP.
8,Open Redirect,Medium,Only allow internal redirects or use a server-side allowlist of domains; Use a token or key that maps to an approved URL instead of accepting full user-supplied URLs; Validate that redirect targets are relative or on the same host; Disallow full URLs from user input in redirect parameters; Log and monitor redirect usage,Validate redirect targets against an allowlist or use internal mapping keys.
9,File Upload Handling,High,Validate file type by magic bytes and content analysis; Enforce allowlist of MIME types; Store uploads outside webroot and serve via controlled handlers; Sanitize filenames and generate server-side filenames; Set safe filesystem permissions (no execute); Scan files for malware; Limit file size and rate; Use content-disposition and Content-Type checks; Use object storage with fine-grained access controls,"Validate and sanitize uploads, store them safely outside the webroot, and scan for malicious content."
10,Broken Authentication / Weak Password Storage,Critical,Use strong password hashing algorithms (bcrypt/argon2/PBKDF2) with salt and appropriate cost; Use per-user salts and consider a server-side pepper; Migrate weak hashes safely; Enforce multi-factor authentication (MFA); Implement account lockout/rate-limiting on login attempts; Use secure session management and rotate session on privilege changes; Secure password reset flows with short-lived tokens and verification,"Store passwords with strong hashing (argon2/bcrypt), enforce MFA and rate limits on auth flows."
11,Sensitive Data Exposure,High,Use TLS (HTTPS) for all transport and enforce HSTS; Encrypt sensitive fields at rest with proper key management; Rotate keys and use KMS or HSM; Minimize data collection and retention; Tokenize or redact PII in logs; Use field-level encryption for highly sensitive data; Audit access to secrets and use secret management solutions,"Encrypt data in transit and at rest, use proper key management and minimize stored sensitive data."
12,Insecure CORS Configuration,Medium,Set a strict allowlist of origins; Never echo request Origin blindly; Configure Access-Control-Allow-Credentials correctly; Use preflight checks and minimize exposed methods/headers; Use libraries/framework features to manage CORS; Set Vary: Origin header to avoid caching issues; Restrict endpoints that accept credentials,Restrict CORS to a specific origin allowlist and avoid reflecting the Origin header.
13,Missing Rate Limiting,Medium,Implement rate limits per-IP and per-account; Use exponential backoff and progressive delays; Apply burst limits and daily caps for expensive ops; Use CAPTCHA for suspicious flows; Throttle or queue expensive background jobs; Alert on unusual spikes; Combine with WAF for bot detection,Apply rate limiting and progressive throttling on auth and expensive endpoints.
14,Directory Traversal,High,Normalize and canonicalize paths; Reject input containing ../ sequences after normalization; Map user requests to a safe filename map or identifiers; Use platform-safe path APIs (no manual string joins); Serve files from a chrooted or dedicated directory; Enforce allowlist of accessible files; Use safe file-serve middleware,Canonicalize and validate file paths; map to allowed filenames or store files outside the webroot.
15,Exposed Debug/Admin Endpoints,Medium,Disable debug endpoints in production builds; Protect with strong authentication and IP allowlist; Require MFA for admin actions; Use feature flags or runtime checks to hide endpoints; Monitor and alert on accesses; Remove verbose error messages,Remove or restrict debug endpoints in production and require strong auth for admin interfaces.
16,Insufficient Logging & Monitoring,Medium,"Log authentication failures, privilege changes, and data access; Ensure logs are tamper-evident and centralized (SIEM); Redact PII in logs; Configure alerting for important events; Retain logs for an appropriate retention period; Test detection and response runbooks","Implement centralized, secure logging and alerting for security-relevant events."
17,Insecure Cookie Attributes,Medium,Set HttpOnly on session cookies to prevent JS access; Set Secure so cookies only sent over HTTPS; Use SameSite=strict or lax depending on needs; Set appropriate Path and Domain; Rotate session IDs on login/logout; Use short cookie expiration for sensitive sessions,"Set Secure, HttpOnly, and SameSite attributes and rotate session identifiers."
18,Open Source Dependency Vulnerabilities,High,"Regularly scan dependencies for known CVEs (SCA tools); Keep dependencies up to date; Use dependency allowlists and pin versions; Apply vulnerability patching policies and test updates in CI; Use SBOM and monitor dependency advisories; Limit privileges of libraries (e.g., run in restricted environment)",Continuously monitor and patch dependencies; maintain an SBOM and automated scanning.
19,Improper Input Validation,High,"Use strict server-side validation and typed schemas (JSON Schema, protobuf); Prefer whitelists over blacklists; Validate length, format, ranges; Normalize inputs early; Fail securely with clear errors; Use input parsing libraries that protect against edge cases; Use fuzzing in QA",Validate all inputs server-side using whitelists and schemas; normalize before use.
20,Weak TLS / Misconfiguration,High,Disable TLS 1.0/1.1 and weak ciphers; Prefer TLS 1.3 or TLS 1.2 with secure ciphers; Enable HSTS; Use modern certificate management and automate renewal; Enable OCSP stapling; Regularly scan with tls configuration tools; Use forward secrecy ciphers,"Harden TLS configuration, enable HSTS, and use modern ciphers with automated certificate management."
